spot;latitude;longitude;AHC_class
1;47.33254;-0.84913;1
2;47.33257;-0.84916;2
3;47.33265;-0.84922;3
4;47.33267;-0.84926;3
5;47.33273;-0.84933;4
6;47.33274;-0.84938;5
7;47.33277;-0.84945;6
8;47.33284;-0.84952;4
9;47.33288;-0.84962;4
10;47.33297;-0.84969;4
11;47.33299;-0.84968;4
12;47.33303;-0.84962;6
13;47.33299;-0.84953;4
14;47.33293;-0.84944;5
15;47.33287;-0.84935;5
16;47.33284;-0.84929;2
17;47.33279;-0.84920;3
18;47.33267;-0.84902;3
19;47.33267;-0.84902;3
20;47.33260;-0.84895;3
21;47.33262;-0.84887;2
22;47.33266;-0.84894;3
23;47.33274;-0.84900;2
24;47.33278;-0.84906;7
25;47.33283;-0.84913;5
26;47.33290;-0.84922;5
27;47.33293;-0.84927;4
28;47.33303;-0.84940;6
29;47.33311;-0.84956;6
30;47.33314;-0.84961;5
31;47.33319;-0.84955;4
32;47.33316;-0.84946;6
33;47.33310;-0.84937;6
34;47.33303;-0.84925;5
35;47.33294;-0.84912;8
36;47.33287;-0.84904;8
37;47.33279;-0.84900;3
38;47.33272;-0.84886;3
39;47.33265;-0.84880;8
40;47.33265;-0.84877;1
41;47.33275;-0.84879;7
42;47.33280;-0.84885;3
43;47.33286;-0.84892;2
44;47.33295;-0.84903;8
45;47.33300;-0.84912;5
46;47.33309;-0.84917;5
47;47.33319;-0.84928;6
48;47.33323;-0.84932;4
49;47.33325;-0.84938;6
50;47.33332;-0.84933;6
51;47.33328;-0.84923;6
52;47.33322;-0.84916;4
53;47.33315;-0.84904;5
54;47.33307;-0.84901;2
55;47.33300;-0.84891;7
56;47.33297;-0.84890;3
57;47.33296;-0.84889;1
58;47.33288;-0.84884;7
59;47.33279;-0.84872;4
60;47.33276;-0.84867;4
61;47.33268;-0.84849;2
62;47.33273;-0.84854;3
63;47.33276;-0.84858;3
64;47.33282;-0.84866;3
65;47.33291;-0.84878;1
66;47.33294;-0.84883;1
67;47.33299;-0.84890;7
68;47.33309;-0.84892;3
69;47.33317;-0.84899;3
70;47.33324;-0.84904;5
71;47.33332;-0.84912;5
72;47.33335;-0.84914;4
73;47.33348;-0.84914;3
74;47.33340;-0.84905;4
75;47.33333;-0.84897;4
76;47.33330;-0.84895;3
77;47.33323;-0.84889;3
78;47.33316;-0.84883;1
79;47.33306;-0.84875;1
80;47.33301;-0.84868;1
81;47.33294;-0.84864;8
82;47.33286;-0.84854;3
83;47.33279;-0.84848;8
84;47.33274;-0.84840;3
85;47.33269;-0.84832;3
86;47.33273;-0.84823;3
87;47.33279;-0.84825;3
88;47.33284;-0.84836;3
89;47.33291;-0.84843;3
90;47.33296;-0.84851;8
91;47.33298;-0.84861;8
92;47.33305;-0.84868;1
93;47.33310;-0.84875;1
94;47.33318;-0.84879;1
95;47.33326;-0.84885;1
96;47.33333;-0.84890;1
97;47.33342;-0.84896;1
98;47.33347;-0.84900;7
99;47.33355;-0.84926;3
100;47.33350;-0.84936;7
101;47.33353;-0.84942;7
102;47.33360;-0.84948;7
103;47.33360;-0.84939;7
104;47.33359;-0.84924;7
105;47.33363;-0.84916;7
106;47.33364;-0.84928;9
107;47.33365;-0.84935;7
108;47.33372;-0.84927;7
109;47.33373;-0.84925;9
110;47.33372;-0.84906;7
111;47.33377;-0.84921;7
112;47.33378;-0.84918;7
113;47.33273;-0.84820;8
114;47.33276;-0.84820;3
115;47.33283;-0.84828;8
116;47.33290;-0.84835;7
117;47.33297;-0.84846;8
118;47.33302;-0.84856;8
119;47.33306;-0.84860;8
120;47.33312;-0.84870;1
121;47.33322;-0.84874;1
122;47.33329;-0.84881;1
123;47.33336;-0.84884;3
124;47.33344;-0.84891;1
125;47.33352;-0.84896;3
126;47.33359;-0.84890;3
127;47.33346;-0.84884;1
128;47.33341;-0.84878;1
129;47.33334;-0.84872;3
130;47.33330;-0.84871;4
131;47.33323;-0.84862;4
132;47.33309;-0.84853;8
133;47.33304;-0.84847;4
134;47.33299;-0.84837;8
135;47.33293;-0.84831;2
136;47.33288;-0.84822;2
137;47.33283;-0.84816;3
138;47.33278;-0.84805;3
139;47.33273;-0.84799;5
140;47.33275;-0.84777;5
141;47.33284;-0.84789;4
142;47.33287;-0.84794;5
143;47.33294;-0.84810;3
144;47.33298;-0.84815;3
145;47.33303;-0.84817;2
146;47.33312;-0.84829;2
147;47.33321;-0.84834;2
148;47.33332;-0.84847;3
149;47.33342;-0.84860;3
150;47.33347;-0.84867;2
151;47.33347;-0.84867;2
152;47.33349;-0.84869;3
153;47.33361;-0.84863;3
154;47.33350;-0.84857;3
155;47.33349;-0.84849;4
156;47.33340;-0.84842;2
157;47.33332;-0.84834;2
158;47.33325;-0.84828;3
159;47.33321;-0.84825;3
160;47.33310;-0.84810;3
161;47.33307;-0.84805;2
162;47.33297;-0.84797;3
163;47.33295;-0.84786;4
164;47.33305;-0.84795;2
165;47.33311;-0.84803;3
166;47.33320;-0.84809;3
167;47.33329;-0.84813;2
168;47.33338;-0.84819;2
169;47.33345;-0.84824;2
170;47.33350;-0.84832;3
171;47.33358;-0.84838;3
172;47.33364;-0.84839;3
173;47.33372;-0.84840;2
174;47.33377;-0.84857;1
175;47.33381;-0.84869;7
176;47.33389;-0.84873;7
177;47.33398;-0.84874;7
178;47.33401;-0.84874;7
179;47.33394;-0.84866;7
180;47.33387;-0.84862;7
181;47.33389;-0.84848;2
182;47.33378;-0.84848;2
