latitude;longitude;slope
47.3327;-0.8497;moderate
47.3329;-0.8498;moderate
47.333;-0.8497;moderate
47.333;-0.8496;moderate
47.3332;-0.8496;moderate
47.3333;-0.8495;moderate
47.3332;-0.8494;moderate
47.3331;-0.8493;moderate
47.3333;-0.8494;moderate
47.3332;-0.8493;moderate
47.3333;-0.8493;moderate
47.3334;-0.8493;moderate
47.3333;-0.8492;moderate
47.3332;-0.8492;moderate
47.3334;-0.8491;moderate
47.3334;-0.8492;moderate
47.3335;-0.8492;moderate
47.3334;-0.8491;moderate
47.3333;-0.8491;moderate
47.3331;-0.8487;moderate
47.3336;-0.8488;moderate
47.3335;-0.8486;moderate
47.3332;-0.8484;moderate
47.3328;-0.8482;moderate
47.3337;-0.8485;moderate
47.3338;-0.8488;moderate
47.3338;-0.8487;moderate
47.3339;-0.8488;moderate
47.334;-0.8488;moderate
47.3339;-0.8487;moderate
47.3339;-0.8486;moderate
47.3338;-0.8485;moderate
47.3335;-0.8494;moderate
47.3335;-0.8493;moderate
47.3335;-0.8493;moderate
47.3336;-0.8492;moderate
47.334;-0.8487;moderate
47.334;-0.8488;moderate
47.3339;-0.8489;moderate
47.3338;-0.8489;moderate
47.3339;-0.8487;moderate
47.3338;-0.8488;moderate
47.3337;-0.8486;moderate
47.3333;-0.8491;moderate
47.3331;-0.8498;moderate
47.3333;-0.8491;moderate
47.3332;-0.8492;moderate
47.3327;-0.8481;moderate
47.3328;-0.848;moderate
47.3331;-0.8488;moderate
47.3332;-0.8487;moderate
47.3332;-0.8494;moderate
47.3331;-0.8495;moderate
47.3329;-0.8497;moderate
47.3328;-0.8497;moderate
47.3329;-0.8488;moderate
47.3331;-0.8497;steep
47.3332;-0.8496;steep
47.3333;-0.8495;steep
47.3331;-0.8494;steep
47.3334;-0.8492;steep
47.3326;-0.8488;steep
47.3333;-0.8487;steep
47.3338;-0.8489;steep
47.3334;-0.8494;steep
47.3335;-0.8494;steep
47.3334;-0.8493;steep
47.3335;-0.8493;steep
47.3336;-0.8493;steep
47.3337;-0.8492;steep
47.3336;-0.8491;steep
47.3335;-0.8491;steep
47.3337;-0.8489;steep
47.3332;-0.8488;steep
47.3329;-0.8495;steep
47.3329;-0.8496;steep
47.3329;-0.8497;steep
47.3328;-0.8497;steep
