spot,latitude,longitude,AHC_class,KMeans_cluster
1,47.33254,-0.84913,1,3
2,47.33257,-0.84916,2,3
3,47.33265,-0.84922,3,3
4,47.33267,-0.84926,3,3
5,47.33273,-0.84933,4,3
6,47.33274,-0.84938,5,3
7,47.33277,-0.84945,6,3
8,47.33284,-0.84952,4,7
9,47.33288,-0.84962,4,7
10,47.33297,-0.84969,4,7
11,47.33299,-0.84968,4,7
12,47.33303,-0.84962,6,7
13,47.33299,-0.84953,4,7
14,47.33293,-0.84944,5,7
15,47.33287,-0.84935,5,7
16,47.33284,-0.84929,2,3
17,47.33279,-0.8492,3,3
18,47.33267,-0.84902,3,3
19,47.33267,-0.84902,3,3
20,47.3326,-0.84895,3,3
21,47.33262,-0.84887,2,3
22,47.33266,-0.84894,3,3
23,47.33274,-0.849,2,3
24,47.33278,-0.84906,7,3
25,47.33283,-0.84913,5,3
26,47.3329,-0.84922,5,3
27,47.33293,-0.84927,4,7
28,47.33303,-0.8494,6,7
29,47.33311,-0.84956,6,7
30,47.33314,-0.84961,5,7
31,47.33319,-0.84955,4,7
32,47.33316,-0.84946,6,7
33,47.3331,-0.84937,6,7
34,47.33303,-0.84925,5,7
35,47.33294,-0.84912,8,3
36,47.33287,-0.84904,8,3
37,47.33279,-0.849,3,3
38,47.33272,-0.84886,3,3
39,47.33265,-0.8488,8,3
40,47.33265,-0.84877,1,3
41,47.33275,-0.84879,7,3
42,47.3328,-0.84885,3,3
43,47.33286,-0.84892,2,3
44,47.33295,-0.84903,8,3
45,47.333,-0.84912,5,7
46,47.33309,-0.84917,5,7
47,47.33319,-0.84928,6,7
48,47.33323,-0.84932,4,7
49,47.33325,-0.84938,6,7
50,47.33332,-0.84933,6,7
51,47.33328,-0.84923,6,7
52,47.33322,-0.84916,4,7
53,47.33315,-0.84904,5,8
54,47.33307,-0.84901,2,1
55,47.333,-0.84891,7,1
56,47.33297,-0.8489,3,1
57,47.33296,-0.84889,1,1
58,47.33288,-0.84884,7,1
59,47.33279,-0.84872,4,1
60,47.33276,-0.84867,4,1
61,47.33268,-0.84849,2,9
62,47.33273,-0.84854,3,9
63,47.33276,-0.84858,3,9
64,47.33282,-0.84866,3,1
65,47.33291,-0.84878,1,1
66,47.33294,-0.84883,1,1
67,47.33299,-0.8489,7,1
68,47.33309,-0.84892,3,1
69,47.33317,-0.84899,3,8
70,47.33324,-0.84904,5,8
71,47.33332,-0.84912,5,8
72,47.33335,-0.84914,4,8
73,47.33348,-0.84914,3,2
74,47.3334,-0.84905,4,8
75,47.33333,-0.84897,4,8
76,47.3333,-0.84895,3,8
77,47.33323,-0.84889,3,8
78,47.33316,-0.84883,1,1
79,47.33306,-0.84875,1,1
80,47.33301,-0.84868,1,1
81,47.33294,-0.84864,8,1
82,47.33286,-0.84854,3,9
83,47.33279,-0.84848,8,9
84,47.33274,-0.8484,3,9
85,47.33269,-0.84832,3,9
86,47.33273,-0.84823,3,9
87,47.33279,-0.84825,3,9
88,47.33284,-0.84836,3,9
89,47.33291,-0.84843,3,9
90,47.33296,-0.84851,8,1
91,47.33298,-0.84861,8,1
92,47.33305,-0.84868,1,1
93,47.3331,-0.84875,1,1
94,47.33318,-0.84879,1,1
95,47.33326,-0.84885,1,8
96,47.33333,-0.8489,1,8
97,47.33342,-0.84896,1,8
98,47.33347,-0.849,7,8
99,47.33355,-0.84926,3,2
100,47.3335,-0.84936,7,2
101,47.33353,-0.84942,7,2
102,47.3336,-0.84948,7,2
103,47.3336,-0.84939,7,2
104,47.33359,-0.84924,7,2
105,47.33363,-0.84916,7,2
106,47.33364,-0.84928,9,2
107,47.33365,-0.84935,7,2
108,47.33372,-0.84927,7,2
109,47.33373,-0.84925,9,2
110,47.33372,-0.84906,7,2
111,47.33377,-0.84921,7,2
112,47.33378,-0.84918,7,2
113,47.33273,-0.8482,8,9
114,47.33276,-0.8482,3,9
115,47.33283,-0.84828,8,9
116,47.3329,-0.84835,7,9
117,47.33297,-0.84846,8,9
118,47.33302,-0.84856,8,1
119,47.33306,-0.8486,8,1
120,47.33312,-0.8487,1,1
121,47.33322,-0.84874,1,8
122,47.33329,-0.84881,1,8
123,47.33336,-0.84884,3,8
124,47.33344,-0.84891,1,8
125,47.33352,-0.84896,3,8
126,47.33359,-0.8489,3,8
127,47.33346,-0.84884,1,8
128,47.33341,-0.84878,1,8
129,47.33334,-0.84872,3,8
130,47.3333,-0.84871,4,8
131,47.33323,-0.84862,4,8
132,47.33309,-0.84853,8,1
133,47.33304,-0.84847,4,1
134,47.33299,-0.84837,8,9
135,47.33293,-0.84831,2,9
136,47.33288,-0.84822,2,9
137,47.33283,-0.84816,3,9
138,47.33278,-0.84805,3,6
139,47.33273,-0.84799,5,6
140,47.33275,-0.84777,5,6
141,47.33284,-0.84789,4,6
142,47.33287,-0.84794,5,6
143,47.33294,-0.8481,3,6
144,47.33298,-0.84815,3,6
145,47.33303,-0.84817,2,6
146,47.33312,-0.84829,2,6
147,47.33321,-0.84834,2,5
148,47.33332,-0.84847,3,5
149,47.33342,-0.8486,3,5
150,47.33347,-0.84867,2,8
151,47.33347,-0.84867,2,8
152,47.33349,-0.84869,3,8
153,47.33361,-0.84863,3,4
154,47.3335,-0.84857,3,5
155,47.33349,-0.84849,4,5
156,47.3334,-0.84842,2,5
157,47.33332,-0.84834,2,5
158,47.33325,-0.84828,3,5
159,47.33321,-0.84825,3,5
160,47.3331,-0.8481,3,6
161,47.33307,-0.84805,2,6
162,47.33297,-0.84797,3,6
163,47.33295,-0.84786,4,6
164,47.33305,-0.84795,2,6
165,47.33311,-0.84803,3,6
166,47.3332,-0.84809,3,6
167,47.33329,-0.84813,2,5
168,47.33338,-0.84819,2,5
169,47.33345,-0.84824,2,5
170,47.3335,-0.84832,3,5
171,47.33358,-0.84838,3,5
172,47.33364,-0.84839,3,5
173,47.33372,-0.8484,2,4
174,47.33377,-0.84857,1,4
175,47.33381,-0.84869,7,4
176,47.33389,-0.84873,7,4
177,47.33398,-0.84874,7,4
178,47.33401,-0.84874,7,4
179,47.33394,-0.84866,7,4
180,47.33387,-0.84862,7,4
181,47.33389,-0.84848,2,4
182,47.33378,-0.84848,2,4
